Country_encoded,EdLevel_encoded,YearsCodePro,Employment_encoded,Salary
151,1,13.0,0,150000.0
107,0,6.0,0,17124.0
151,0,8.0,0,56083.0
151,0,5.0,0,105000.0
95,1,5.0,0,8256.0
151,0,6.0,0,100000.0
48,2,4.0,0,54049.0
151,0,30.0,0,112500.0
151,1,2.0,0,88800.0
151,2,25.0,0,130000.0
151,1,21.0,0,126000.0
151,0,17.0,0,150000.0
151,1,11.0,0,120000.0
151,0,10.0,0,95000.0
151,2,4.0,0,67000.0
151,0,30.0,0,150000.0
151,0,19.0,0,159000.0
151,0,21.0,0,120000.0
151,3,11.0,0,150000.0
151,0,16.0,2,249000.0
62,2,8.0,0,34206.0
69,1,3.0,0,17508.0
48,0,3.0,0,37834.0
151,0,5.0,0,87000.0
143,2,4.0,0,12624.0
151,0,8.0,0,94000.0
50,2,2.0,0,51888.0
28,0,3.0,0,35395.0
151,2,5.0,0,72000.0
28,0,8.0,2,127056.0
41,3,10.0,0,48000.0
151,2,9.0,0,94000.0
151,0,7.0,0,250000.0
28,2,5.0,0,85085.0
149,2,12.0,0,67215.0
69,1,10.0,0,38916.0
60,2,6.0,0,38484.0
62,0,3.0,0,5028.0
28,0,10.0,0,30253.0
151,1,1.0,0,74000.0
151,0,21.0,0,100300.0
22,2,10.0,0,24744.0
151,0,15.0,0,72000.0
107,0,3.0,2,192.0
50,2,12.0,0,51888.0
151,0,7.0,0,98000.0
151,2,23.0,0,200000.0
151,0,2.0,0,64400.0
57,1,2.0,0,38364.0
147,0,4.0,0,29364.0
28,0,22.0,0,75631.0
5,3,25.0,0,35028.0
151,1,30.0,0,150000.0
22,0,2.0,0,15120.0
28,3,13.0,0,151263.0
151,0,0.5,2,16250.0
136,0,6.0,1,76237.0
151,0,13.0,0,150000.0
151,2,10.0,0,185000.0
151,0,0.5,0,2000000.0
151,1,22.0,0,156000.0
151,0,1.0,0,75000.0
149,1,7.0,2,23267.0
149,0,11.0,0,81433.0
50,2,9.0,0,73507.0
151,2,5.0,0,110000.0
151,0,9.0,0,107000.0
151,0,7.0,0,150000.0
151,0,4.0,0,90000.0
151,3,30.0,0,175000.0
135,2,2.0,0,38456.0
82,1,12.0,0,51888.0
149,3,17.0,0,958584.0
151,0,10.0,0,140000.0
151,0,3.0,0,60000.0
151,1,1.0,0,50000.0
